index,level1,level2,level3,year,module_code,module_description,difficulty,attribute
891,Measurement,Measurement,Measuring and Calculating,6,D,"calculate, estimate and compare volume of cubes and cuboids using standard units, including cubic centimetres (cmÃÂ³) and cubic metres (mÃÂ³), and extending to other units [e.g. mmÃÂ³ and kmÃÂ³].",2_can,"Calculate the volume of cubes and cuboids using the formula l x w x h with small whole number dimensions (e.g., up to 5x5x5). Use cmÃÂ³. Estimate volume of simple cuboids by visual inspection (e.g., ""Which is bigger?"")."
892,Measurement,Measurement,Measuring and Calculating,6,D,"calculate, estimate and compare volume of cubes and cuboids using standard units, including cubic centimetres (cmÃÂ³) and cubic metres (mÃÂ³), and extending to other units [e.g. mmÃÂ³ and kmÃÂ³].",2_cannot,"Do not use large dimensions. Do not use mÃÂ³, mmÃÂ³, kmÃÂ³. No complex estimation (e.g., for irregular shapes). No negative numbers or decimals. No complex word problems or conversions."
893,Measurement,Measurement,Measuring and Calculating,6,D,"calculate, estimate and compare volume of cubes and cuboids using standard units, including cubic centimetres (cmÃÂ³) and cubic metres (mÃÂ³), and extending to other units [e.g. mmÃÂ³ and kmÃÂ³].",3_can,"Calculate the volume of cubes and cuboids using dimensions with whole numbers (up to 10). Use cmÃÂ³ and mÃÂ³ units. Estimate volume of cuboids in various contexts (e.g., volume of a room). Compare volumes of different cuboids. Questions involve direct calculation, simple estimations, or explicit word problems."
894,Measurement,Measurement,Measuring and Calculating,6,D,"calculate, estimate and compare volume of cubes and cuboids using standard units, including cubic centimetres (cmÃÂ³) and cubic metres (mÃÂ³), and extending to other units [e.g. mmÃÂ³ and kmÃÂ³].",3_cannot,"Do not use dimensions that result in very large volumes (e.g., >1000 cmÃÂ³). No mmÃÂ³ or kmÃÂ³. No negative numbers or decimals for dimensions. No complex multi-step problems or those requiring inverse calculations."
895,Measurement,Measurement,Measuring and Calculating,6,D,"calculate, estimate and compare volume of cubes and cuboids using standard units, including cubic centimetres (cmÃÂ³) and cubic metres (mÃÂ³), and extending to other units [e.g. mmÃÂ³ and kmÃÂ³].",4_can,"Fluently calculate, estimate, and compare volume of cubes and cuboids using standard units (cmÃÂ³, mÃÂ³, mmÃÂ³, kmÃÂ³). Questions involve solving multi-step word problems (e.g., ""How many small boxes fit into a larger box?""), identifying errors in volume calculations, or justifying estimations. Can involve problems where dimensions are given in different units requiring conversion before calculation, or finding a missing dimension given the volume."
896,Measurement,Measurement,Measuring and Calculating,6,D,"calculate, estimate and compare volume of cubes and cuboids using standard units, including cubic centimetres (cmÃÂ³) and cubic metres (mÃÂ³), and extending to other units [e.g. mmÃÂ³ and kmÃÂ³].",4_cannot,"No negative dimensions or volumes. No complex shapes (e.g., triangular prisms). Do not use fractional or decimal dimensions unless they are simple halves (0.5), quarters (0.25), or tenths (e.g., 1.2) that result in manageable calculations."
897,Measurement,Measurement,Measuring and Calculating,1,B,recognise and know the value of different denominations of coins and notes,1_can,"Recognise 1p, 2p, 5p, 10p coins by sight. Know their value when explicitly told. Match coin to number. Use concrete coins."
898,Measurement,Measurement,Measuring and Calculating,1,B,recognise and know the value of different denominations of coins and notes,1_cannot,"Do not recognise 20p, 50p, ÃÂ£1, ÃÂ£2 coins, or notes. Do not combine coins. No comparisons of coin values. No word problems."
899,Measurement,Measurement,Measuring and Calculating,1,B,recognise and know the value of different denominations of coins and notes,2_can,"Recognise 1p, 2p, 5p, 10p, 20p, 50p coins. Know their value and identify different combinations that equal a given value up to 10p (e.g., 5p = 2p+2p+1p). Questions involve direct identification and simple combining."
900,Measurement,Measurement,Measuring and Calculating,1,B,recognise and know the value of different denominations of coins and notes,2_cannot,"Do not recognise notes, ÃÂ£1, ÃÂ£2 coins. Do not combine coins for values >10p. No calculations involving money (e.g., adding, subtracting)."
901,Measurement,Measurement,Measuring and Calculating,1,B,recognise and know the value of different denominations of coins and notes,3_can,"Recognise all common coins (ÃÂ£1, ÃÂ£2 included). Know value of all common coins and notes (ÃÂ£5, ÃÂ£10, ÃÂ£20). Identify different combinations of coins that equal a given value up to ÃÂ£1. Questions involve combining coins to make a total or identifying coins needed for an item."
902,Measurement,Measurement,Measuring and Calculating,1,B,recognise and know the value of different denominations of coins and notes,3_cannot,Do not combine notes for values >ÃÂ£20. Do not recognise ÃÂ£50 notes. No money calculations (adding/subtracting amounts). No complex problem-solving for combinations.
903,Measurement,Measurement,Measuring and Calculating,1,B,recognise and know the value of different denominations of coins and notes,4_can,"Fluently recognise and know the value of all common coins and notes (ÃÂ£5, ÃÂ£10, ÃÂ£20). Identify different combinations of coins/notes to make any given value up to ÃÂ£20. Questions involve practical scenarios (e.g., identifying coins to pay for an item, making change for simple amounts)."
904,Measurement,Measurement,Measuring and Calculating,1,B,recognise and know the value of different denominations of coins and notes,4_cannot,Do not recognise ÃÂ£50 notes. No complex multi-step money problems. No calculations involving addition/subtraction beyond very simple change-giving that relies on direct coin values.
905,Measurement,Measurement,Measuring and Calculating,2,B,recognise and use symbols for pounds (ÃÂ£) and pence (p); combine amounts to make a particular value,1_can,"Recognise ÃÂ£ and p symbols. Combine coins (1p, 2p, 5p, 10p) to make simple totals up to 20p. Questions involve direct combination and writing amounts (e.g., 5p, 12p)."
906,Measurement,Measurement,Measuring and Calculating,2,B,recognise and use symbols for pounds (ÃÂ£) and pence (p); combine amounts to make a particular value,1_cannot,"Do not combine coins >20p. Do not use notes. Do not combine ÃÂ£ and p. No addition/subtraction beyond direct combining. No making specific values (e.g., ""Make 17p"")."
907,Measurement,Measurement,Measuring and Calculating,2,B,recognise and use symbols for pounds (ÃÂ£) and pence (p); combine amounts to make a particular value,2_can,"Recognise ÃÂ£ and p symbols. Combine any coins to make specific values up to ÃÂ£1 (e.g., ""Make 65p""). Write amounts up to ÃÂ£1 with symbols (e.g., 75p). Questions involve finding combinations or direct calculations of total amounts from given coins."
908,Measurement,Measurement,Measuring and Calculating,2,B,recognise and use symbols for pounds (ÃÂ£) and pence (p); combine amounts to make a particular value,2_cannot,Do not combine notes. Do not combine ÃÂ£ and p. No values >ÃÂ£1. No addition/subtraction of amounts. No simple word problems yet.
909,Measurement,Measurement,Measuring and Calculating,2,B,recognise and use symbols for pounds (ÃÂ£) and pence (p); combine amounts to make a particular value,3_can,"Recognise ÃÂ£ and p symbols. Combine coins and notes (up to ÃÂ£20) to make specific values (e.g., ""Make ÃÂ£12.50""). Write amounts using both ÃÂ£ and p notation (e.g., ÃÂ£2.50). Questions involve finding combinations or calculating total amounts from a given set of money. Can include simple, explicit word problems about total cost."
910,Measurement,Measurement,Measuring and Calculating,2,B,recognise and use symbols for pounds (ÃÂ£) and pence (p); combine amounts to make a particular value,3_cannot,"No complex calculations with money (e.g., giving change). No values >ÃÂ£20. No multi-step problems."
911,Measurement,Measurement,Measuring and Calculating,2,B,recognise and use symbols for pounds (ÃÂ£) and pence (p); combine amounts to make a particular value,4_can,"Fluently recognise and use ÃÂ£ and p symbols to combine amounts of money (coins and notes up to ÃÂ£20) to make particular values. Questions involve identifying errors in money notation, solving multi-step problems (up to 2 steps) that require combining money and identifying total costs, or reasoning about efficient ways to make a value."
912,Measurement,Measurement,Measuring and Calculating,2,B,recognise and use symbols for pounds (ÃÂ£) and pence (p); combine amounts to make a particular value,4_cannot,No values >ÃÂ£20. No complex calculations for giving change or budgeting. No negative amounts.
913,Measurement,Measurement,Measuring and Calculating,3,C,"add and subtract amounts of money to give change, using both ÃÂ£ and p in practical contexts",1_can,"Add/subtract amounts of money using p only (up to 50p). Give change from 20p or 50p for single purchases. Questions are explicit. Use concrete or pictorial aids. (e.g., ""I buy 15p sweet, pay 20p. Change?"")."
914,Measurement,Measurement,Measuring and Calculating,3,C,"add and subtract amounts of money to give change, using both ÃÂ£ and p in practical contexts",1_cannot,"Do not use ÃÂ£. Do not add/subtract amounts >50p. No complex change calculations (e.g., multiple items). No negative amounts. No multi-step problems."
915,Measurement,Measurement,Measuring and Calculating,3,C,"add and subtract amounts of money to give change, using both ÃÂ£ and p in practical contexts",2_can,"Add/subtract amounts of money using p only (up to ÃÂ£1). Give change from ÃÂ£1 for single purchases. Begin to use ÃÂ£ and p notation for addition/subtraction (e.g., ÃÂ£0.50 + ÃÂ£0.25). Questions involve combining costs of 2 items or giving change for simple purchases."
916,Measurement,Measurement,Measuring and Calculating,3,C,"add and subtract amounts of money to give change, using both ÃÂ£ and p in practical contexts",2_cannot,Do not use notes. Do not add/subtract amounts >ÃÂ£1. No complex change calculations involving multiple items or large notes. No negative amounts. No complex multi-step problems.
917,Measurement,Measurement,Measuring and Calculating,3,C,"add and subtract amounts of money to give change, using both ÃÂ£ and p in practical contexts",3_can,"Add/subtract amounts of money using both ÃÂ£ and p notation, up to ÃÂ£10. Give change from notes (e.g., ÃÂ£5, ÃÂ£10) for single items or two items. Questions involve practical contexts (e.g., shopping lists, calculating total cost and change)."
918,Measurement,Measurement,Measuring and Calculating,3,C,"add and subtract amounts of money to give change, using both ÃÂ£ and p in practical contexts",3_cannot,Do not use amounts >ÃÂ£10. No negative amounts. No complex multi-step problems involving budgeting over time or multiple transactions. No combining different operations within one money problem.
919,Measurement,Measurement,Measuring and Calculating,3,C,"add and subtract amounts of money to give change, using both ÃÂ£ and p in practical contexts",4_can,"Fluently add and subtract amounts of money using both ÃÂ£ and p notation, including up to ÃÂ£20. Give change accurately for multiple items or larger purchases from up to ÃÂ£20. Questions involve multi-step word problems (up to 2 steps) that require calculating costs, comparing prices, or managing budgets, where accurate change is a key component."
920,Measurement,Measurement,Measuring and Calculating,3,C,"add and subtract amounts of money to give change, using both ÃÂ£ and p in practical contexts",4_cannot,"Do not use amounts >ÃÂ£20. No negative amounts. No complex financial calculations (e.g., discounts, interest). No problems involving very large sums of money."
921,Measurement,Measurement,Telling the Time,1,A,tell the time to the hour and half past the hour and draw the hands on a clock face to show these times.,1_can,Tell time to the hour on an analogue clock. Draw hands for time to the hour. Focus on direct recognition and drawing. Use clocks with numbers clearly visible.
922,Measurement,Measurement,Telling the Time,1,A,tell the time to the hour and half past the hour and draw the hands on a clock face to show these times.,1_cannot,Do not tell time to half past the hour. Do not draw hands for half past the hour. No digital time. No word problems or time duration questions.
923,Measurement,Measurement,Telling the Time,1,A,tell the time to the hour and half past the hour and draw the hands on a clock face to show these times.,2_can,"Tell time to the hour and half past the hour on an analogue clock. Draw hands for both to the hour and half past. Questions involve matching analogue time to written time (e.g., ""3 o'clock"")."
924,Measurement,Measurement,Telling the Time,1,A,tell the time to the hour and half past the hour and draw the hands on a clock face to show these times.,2_cannot,Do not tell time to the nearest 5 minutes. No digital time. No abstract contexts or time duration calculations.
925,Measurement,Measurement,Telling the Time,1,A,tell the time to the hour and half past the hour and draw the hands on a clock face to show these times.,3_can,"Tell time to the hour and half past the hour, identifying errors in clock face representation. Draw hands accurately. Questions involve simple, explicit word problems (e.g., ""Lunch is at half past 12. Draw it."")."
926,Measurement,Measurement,Telling the Time,1,A,tell the time to the hour and half past the hour and draw the hands on a clock face to show these times.,3_cannot,Do not tell time to the nearest 5 minutes. No digital or 24-hour time. No Roman numerals. No complex word problems or time duration questions.
927,Measurement,Measurement,Telling the Time,1,A,tell the time to the hour and half past the hour and draw the hands on a clock face to show these times.,4_can,"Fluently tell time to the hour and half past the hour on an analogue clock, and draw hands accurately. Questions involve identifying different ways to represent these times (e.g., 30 minutes past 2 o'clock), solving simple multi-step problems (up to 2 steps) involving these times (e.g., ""If it starts at 2 o'clock and takes half an hour, what time does it finish?"")."
928,Measurement,Measurement,Telling the Time,1,A,tell the time to the hour and half past the hour and draw the hands on a clock face to show these times.,4_cannot,No time to the nearest 5 minutes. No Roman numerals. No 24-hour digital time. No complex time durations.
929,Measurement,Measurement,Telling the Time,2,A,"tell and write the time to five minutes, including quarter past/to the hour and draw the hands on a clock face to show these times.",1_can,"Tell time to the nearest 15 minutes (quarter past/to, half past, o'clock) on analogue clocks. Draw hands for these times. Questions are direct recognition/drawing. Use clocks with numbers clearly visible."
930,Measurement,Measurement,Telling the Time,2,A,"tell and write the time to five minutes, including quarter past/to the hour and draw the hands on a clock face to show these times.",1_cannot,Do not tell time to the nearest 5 minutes. Do not use digital or 24-hour time. No Roman numerals. No word problems or duration calculations.
931,Measurement,Measurement,Telling the Time,2,A,"tell and write the time to five minutes, including quarter past/to the hour and draw the hands on a clock face to show these times.",2_can,"Tell time to the nearest 5 minutes on analogue clocks. Draw hands for times to the nearest 5 minutes. Recognise and write time to the nearest 5 minutes in 12-hour digital format. Questions involve matching analogue and digital displays (e.g., ""Match 10 past 3 to 3:10"")."
932,Measurement,Measurement,Telling the Time,2,A,"tell and write the time to five minutes, including quarter past/to the hour and draw the hands on a clock face to show these times.",2_cannot,Do not tell time to the nearest minute. Do not use 24-hour time. No Roman numerals. No complex word problems or time duration calculations.
933,Measurement,Measurement,Telling the Time,2,A,"tell and write the time to five minutes, including quarter past/to the hour and draw the hands on a clock face to show these times.",3_can,"Tell and write the time to the nearest 5 minutes, including quarter past/to the hour, using analogue and 12-hour digital formats. Questions involve identifying errors in clock representations, or solving simple, explicit word problems (e.g., ""The movie starts at 7:05. Draw it."")."
934,Measurement,Measurement,Telling the Time,2,A,"tell and write the time to five minutes, including quarter past/to the hour and draw the hands on a clock face to show these times.",3_cannot,Do not tell time to the nearest minute. No 24-hour time. No Roman numerals. No complex time duration calculations or abstract contexts.
935,Measurement,Measurement,Telling the Time,2,A,"tell and write the time to five minutes, including quarter past/to the hour and draw the hands on a clock face to show these times.",4_can,"Fluently tell and write the time to the nearest 5 minutes, including quarter past/to the hour, using analogue and 12-hour digital formats. Questions involve identifying different ways to say/show a time, solving multi-step problems (up to 2 steps) that require understanding time to 5 minutes (e.g., ""If it's 3:20, what time was it 15 minutes ago?""), or reasoning about schedules."
936,Measurement,Measurement,Telling the Time,2,A,"tell and write the time to five minutes, including quarter past/to the hour and draw the hands on a clock face to show these times.",4_cannot,No time to the nearest minute. No Roman numerals. No 24-hour digital time. No complex time durations.
937,Measurement,Measurement,Telling the Time,3,A,"tell and write the time from an analogue clock, including using Roman numerals from I to XII, and 12-hour and 24-hour clocks",1_can,"Tell time to the nearest 5 minutes on an analogue clock. Read and write time to the nearest 5 minutes in 12-hour digital format (e.g., 3:10pm). Read Roman numerals I-VI. Focus on direct time reading and simple conversions."
938,Measurement,Measurement,Telling the Time,3,A,"tell and write the time from an analogue clock, including using Roman numerals from I to XII, and 12-hour and 24-hour clocks",1_cannot,Do not tell/write time to the minute. Do not use 24-hour clock. Do not read Roman numerals beyond VI. No time differences. No complex word problems involving time.
939,Measurement,Measurement,Telling the Time,3,A,"tell and write the time from an analogue clock, including using Roman numerals from I to XII, and 12-hour and 24-hour clocks",2_can,Tell time to the nearest minute on an analogue clock. Read and write time to nearest 5 minutes in 12-hour and 24-hour digital format. Read Roman numerals I-IX. Questions involve matching times across analogue/digital formats.
940,Measurement,Measurement,Telling the Time,3,A,"tell and write the time from an analogue clock, including using Roman numerals from I to XII, and 12-hour and 24-hour clocks",2_cannot,Do not read/write time to the minute for 24-hour. Do not read Roman numerals beyond IX. No time duration calculations. No complex word problems.
941,Measurement,Measurement,Telling the Time,3,A,"tell and write the time from an analogue clock, including using Roman numerals from I to XII, and 12-hour and 24-hour clocks",3_can,"Tell and write the time from an analogue clock including Roman numerals I-XII. Read and write time in 12-hour and 24-hour digital formats (to the minute). Questions involve converting time between all formats or identifying a time from a simple word problem (e.g., ""The bus leaves at ten past three"")."
942,Measurement,Measurement,Telling the Time,3,A,"tell and write the time from an analogue clock, including using Roman numerals from I to XII, and 12-hour and 24-hour clocks",3_cannot,Do not calculate time differences. No multi-step time problems. No complex or abstract contexts for time.
943,Measurement,Measurement,Telling the Time,3,A,"tell and write the time from an analogue clock, including using Roman numerals from I to XII, and 12-hour and 24-hour clocks",4_can,"Fluently tell and write time from analogue (including Roman numerals I-XII), 12-hour, and 24-hour clocks. Questions involve identifying errors in time representations, solving multi-step word problems requiring time conversions (e.g., ""If it starts at 14:30 and takes 45 minutes, what time does it finish?""), or creating time-based schedules."
944,Measurement,Measurement,Telling the Time,3,A,"tell and write the time from an analogue clock, including using Roman numerals from I to XII, and 12-hour and 24-hour clocks",4_cannot,No time zone conversions. No calculations involving time and speed/distance. No concepts beyond telling/writing time as specified.
945,Measurement,Measurement,Telling the Time,4,A,"read, write and convert time between analogue and digital 12 and 24-hour clocks (appears also in Converting)",1_can,"Read and write time to the nearest 5 minutes on analogue and 12-hour digital clocks. Convert between analogue and 12-hour digital time (e.g., 3:10pm from analogue). Focus on explicit matching."
946,Measurement,Measurement,Telling the Time,4,A,"read, write and convert time between analogue and digital 12 and 24-hour clocks (appears also in Converting)",1_cannot,Do not read/write time to the minute. Do not convert to/from 24-hour clock. No Roman numerals. No time duration calculations. No complex word problems.
947,Measurement,Measurement,Telling the Time,4,A,"read, write and convert time between analogue and digital 12 and 24-hour clocks (appears also in Converting)",2_can,"Read and write time to the nearest minute on analogue and 12-hour digital clocks. Convert between analogue and 12-hour digital time. Convert simple times (e.g., on the hour, half past) to/from 24-hour digital format (e.g., 3pm = 15:00)."
948,Measurement,Measurement,Telling the Time,4,A,"read, write and convert time between analogue and digital 12 and 24-hour clocks (appears also in Converting)",2_cannot,"Do not convert complex times (e.g., 3:45pm) to/from 24-hour clock. No Roman numerals. No complex time duration calculations. No complex word problems."
949,Measurement,Measurement,Telling the Time,4,A,"read, write and convert time between analogue and digital 12 and 24-hour clocks (appears also in Converting)",3_can,"Read and write time to the nearest minute on analogue, 12-hour digital, and 24-hour digital clocks. Convert time accurately between all formats (e.g., 17:35 to analogue). Questions involve identifying errors in time conversions or solving simple word problems that require converting time formats."
950,Measurement,Measurement,Telling the Time,4,A,"read, write and convert time between analogue and digital 12 and 24-hour clocks (appears also in Converting)",3_cannot,Do not use Roman numerals in conversions. No time zone conversions. No multi-step problems that combine time conversion with complex calculations.
951,Measurement,Measurement,Telling the Time,4,A,"read, write and convert time between analogue and digital 12 and 24-hour clocks (appears also in Converting)",4_can,"Fluently read, write, and convert time between analogue, digital 12-hour, and 24-hour clocks. Questions involve multi-step word problems (up to 2 steps) requiring accurate time conversion and calculation of durations (e.g., ""If a train leaves at 09:40 and arrives at 14:15, how long was the journey?""), identifying errors in time representations, or creating schedules involving multiple formats."
952,Measurement,Measurement,Telling the Time,4,A,"read, write and convert time between analogue and digital 12 and 24-hour clocks (appears also in Converting)",4_cannot,"No Roman numerals. No time zone conversions. No calculations involving dates or complex measures of time (e.g., speed, distance)."
953,Measurement,Measurement,Telling the Time,5,A,solve problems involving converting between units of time,1_can,"Solve single-step problems converting whole hours to minutes, minutes to seconds, years to months, weeks to days, and vice versa. Use small whole numbers. Contexts are explicit and direct (e.g., ""A lesson is 60 minutes long. How many hours?"")."
954,Measurement,Measurement,Telling the Time,5,A,solve problems involving converting between units of time,1_cannot,"Do not convert fractional parts of units. Do not convert between non-adjacent units (e.g., hours to seconds). No negative values. No multi-step problems. No complex word problems."
955,Measurement,Measurement,Telling the Time,5,A,solve problems involving converting between units of time,2_can,"Solve two-step problems involving converting between units of time (e.g., ""A journey is 1 hour 30 minutes. How many minutes is that?""). Convert simple fractional parts (e.g., half an hour). Questions involve interpreting short scenarios and performing conversions. Contexts are familiar schedules/durations."
956,Measurement,Measurement,Telling the Time,5,A,solve problems involving converting between units of time,2_cannot,"Do not use complex fractional parts (e.g., 1/3, 1/7 of an hour). No negative values. No complex multi-step problems beyond two steps. No conversions involving dates or leap years. No calculations with time zones."
957,Measurement,Measurement,Telling the Time,5,A,solve problems involving converting between units of time,3_can,"Solve multi-step problems (up to 3 steps) involving converting between units of time (hours, minutes, seconds, days, weeks, months, years). Questions require choosing appropriate conversions and operations. Contexts are varied real-world scenarios (e.g., travel plans, event durations)."
958,Measurement,Measurement,Telling the Time,5,A,solve problems involving converting between units of time,3_cannot,Do not use negative values. No calculations with recurring decimals for time conversions. No problems requiring advanced logical deduction beyond direct conversions and calculations. No time zone calculations.
959,Measurement,Measurement,Telling the Time,5,A,solve problems involving converting between units of time,4_can,"Fluently solve complex multi-step problems (3+ steps) involving converting between all units of time, including fractional/decimal parts where appropriate. Questions involve identifying errors in time calculations, reasoning about time durations across multiple units, or solving inverse problems (e.g., ""If I spent 1200 seconds doing homework, how many minutes/hours is that?""). Can involve applying these skills to complex real-world schedules or data interpretation."
960,Measurement,Measurement,Telling the Time,5,A,solve problems involving converting between units of time,4_cannot,No negative values. No time zone conversions. No concepts beyond the specified units of time conversion.
961,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",2,A,"interpret and construct simple pictograms, tally charts, block diagrams and simple tables",1_can,Interpret information from simple tally charts and pictograms where 1 symbol = 1 unit. Construct tally charts for up to 5 categories with max 10 items. Construct pictograms with 1 symbol = 1 unit for up to 3 categories. Focus on direct counting.
962,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",2,A,"interpret and construct simple pictograms, tally charts, block diagrams and simple tables",1_cannot,"Do not interpret/construct block diagrams or tables. Do not use scales other than 1:1 for pictograms. No more than 5 categories for tally charts. No ""how many more/fewer"" questions. No complex data."
963,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",2,A,"interpret and construct simple pictograms, tally charts, block diagrams and simple tables",2_can,Interpret information from simple tally charts and pictograms where 1 symbol = 2 or 5 units. Construct tally charts for up to 5 categories (max 20 items). Construct pictograms with 1 symbol = 2 or 5 units (up to 5 categories). Interpret simple block diagrams (1 unit per block).
964,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",2,A,"interpret and construct simple pictograms, tally charts, block diagrams and simple tables",2_cannot,"Do not interpret/construct tables. Do not use scales other than 1:2 or 1:5. No ""how many more/fewer"" questions yet. No complex data with intermediate values. No complex comparisons."
965,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",2,A,"interpret and construct simple pictograms, tally charts, block diagrams and simple tables",3_can,"Interpret and construct simple pictograms (1 symbol = 10 units) and tally charts (max 50 items). Interpret and construct block diagrams (1 unit per block, vertical or horizontal). Begin interpreting simple tables (2 columns, simple data). Solve ""how many more/fewer?"" questions by interpreting these charts/tables. Max 10 categories."
966,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",2,A,"interpret and construct simple pictograms, tally charts, block diagrams and simple tables",3_cannot,"Do not use scales that require estimation (e.g., 1 symbol = 3). Do not use complex tables (e.g., multiple rows of data, calculated columns). No complex questions (e.g., total of 3 categories)."
967,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",2,A,"interpret and construct simple pictograms, tally charts, block diagrams and simple tables",4_can,"Fluently interpret and construct simple pictograms (any clear whole number scale, including half symbols), tally charts, block diagrams, and simple tables. Answer comparison, sum, and difference questions by interpreting data from these representations. Questions may involve identifying errors in data presentation or choosing the best representation for given data."
968,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",2,A,"interpret and construct simple pictograms, tally charts, block diagrams and simple tables",4_cannot,No line graphs or bar charts. No data with decimals or fractions. No questions requiring calculation of mean/mode/median. No complex data that requires significant inference.
969,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",3,A,"interpret and present data using bar charts, pictograms and tables",1_can,"Interpret direct information from simple bar charts where scale is 1 unit per bar. Interpret pictograms where 1 symbol = 2, 5, or 10 units. Construct simple bar charts (scale of 1 or 2). Present data in simple tables. Max 5 categories."
970,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",3,A,"interpret and present data using bar charts, pictograms and tables",1_cannot,"Do not interpret bar charts with scales other than 1:1. Do not use pictograms with half symbols. Do not use complex tables (e.g., multiple data points per row). No multi-step questions or calculations of sum/difference beyond simple direct reading."
971,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",3,A,"interpret and present data using bar charts, pictograms and tables",2_can,"Interpret information from bar charts (scales like 1, 2, 5, 10 units per division) and pictograms (any clear whole number scale, including half symbols). Construct bar charts (scales like 1, 2, 5, 10). Present data in simple tables. Answer ""how many more/fewer?"" questions. Max 10 categories."
972,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",3,A,"interpret and present data using bar charts, pictograms and tables",2_cannot,"Do not use scales requiring interpolation. Do not present data in complex tables. No questions requiring complex calculations (e.g., averages). No line graphs or complex charts."
973,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",3,A,"interpret and present data using bar charts, pictograms and tables",3_can,"Interpret and present data using bar charts (including those with intermediate scale values, e.g., 2.5 units per division), pictograms (with complex scales), and tables (e.g., two-way tables). Answer comparison, sum, and difference questions by interpreting these data representations. Can involve choosing the most appropriate chart/table for given data."
974,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",3,A,"interpret and present data using bar charts, pictograms and tables",3_cannot,"Do not use complex or irregular scales that are difficult to read precisely. No data with decimals or fractions. No questions requiring mean, mode, median. No line graphs."
975,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",3,A,"interpret and present data using bar charts, pictograms and tables",4_can,"Fluently interpret and present data using bar charts, pictograms, and tables, including those with large numbers (e.g., population figures). Questions involve multi-step analysis, identifying trends in data (e.g., ""Which is most popular overall?""), making comparisons across multiple categories, and identifying errors in data presentation or interpretation. Can involve justifying choices for data presentation."
976,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",3,A,"interpret and present data using bar charts, pictograms and tables",4_cannot,"No line graphs. No data with negative numbers, complex decimals or fractions. No questions requiring abstract statistical analysis or projections beyond simple trends."
977,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",4,A,"interpret and present discrete and continuous data using appropriate graphical methods, including bar charts and time graphs",1_can,"Interpret and present discrete data using bar charts (simple scales, e.g., 1, 2, 5, 10 units per division). Interpret simple time graphs (line graphs) where data points are explicit whole numbers (e.g., temperature at hourly intervals). Focus on direct reading of values."
978,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",4,A,"interpret and present discrete and continuous data using appropriate graphical methods, including bar charts and time graphs",1_cannot,"Do not present continuous data. Do not use complex scales or interpolate between data points. No negative values on graphs. No ""sum"" or ""difference"" questions for line graphs. No data with decimals or fractions."
979,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",4,A,"interpret and present discrete and continuous data using appropriate graphical methods, including bar charts and time graphs",2_can,"Interpret and present discrete data using bar charts (any whole number scale, including half-bars for comparison). Interpret and present continuous data using simple time graphs where data points are clear. Answer ""how many more/fewer?"" questions on bar charts and read values from time graphs. Can identify appropriate graph for given data (discrete vs continuous)."
980,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",4,A,"interpret and present discrete and continuous data using appropriate graphical methods, including bar charts and time graphs",2_cannot,Do not use complex scales requiring estimation between divisions. No negative values on graphs. No multi-step problems or complex calculations. No data with fractions.
981,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",4,A,"interpret and present discrete and continuous data using appropriate graphical methods, including bar charts and time graphs",3_can,"Interpret and present discrete data using bar charts (including those with large numbers). Interpret and present continuous data using time graphs (including those with negative values, e.g., temperature, and those requiring interpolation). Solve comparison, sum, and difference problems from both types of graphs. Questions may involve identifying trends."
982,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",4,A,"interpret and present discrete and continuous data using appropriate graphical methods, including bar charts and time graphs",3_cannot,"No data requiring mean, mode, median. No complex or irregular scales. No complex multi-step problems that blend statistical concepts with other operations. No data with fractions (decimals are fine)."
983,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",4,A,"interpret and present discrete and continuous data using appropriate graphical methods, including bar charts and time graphs",4_can,"Fluently interpret and present discrete and continuous data using appropriate graphical methods, including bar charts and time graphs. Questions involve multi-step calculations, identifying trends and making simple predictions, comparing data from multiple charts, or identifying errors in data representation or interpretation. Can involve reasoning about the most effective way to display complex data."
